Cohort,Geography,Gender,Percentage,,
35 to 39 years,Castlegar,Men+,-3.8%,,
40 to 44 years,Castlegar,Men+,-2.9%,,
45 to 49 years,Castlegar,Men+,-2.8%,,
50 to 54 years,Castlegar,Men+,-2.9%,,
55 to 59 years,Castlegar,Men+,-2.8%,,
60 to 64 years,Castlegar,Men+,-4.1%,,
65 to 69 years,Castlegar,Men+,-3.8%,,
70 to 74 years,Castlegar,Men+,-2.5%,,
75 to 79 years,Castlegar,Men+,-2.2%,,
80 to 84 years,Castlegar,Men+,-1.7%,,
85 to 89 years,Castlegar,Men+,-0.7%,,
90 to 94 years,Castlegar,Men+,-0.4%,,
95 to 99 years,Castlegar,Men+,-0.1%,,
100 years and over,Castlegar,Men+,0.0%,,
0 to 4 years,Central Kootenay,Men+,-1.9%,,
5 to 9 years,Central Kootenay,Men+,-2.4%,,
10 to 14 years,Central Kootenay,Men+,-2.6%,,
15 to 19 years,Central Kootenay,Men+,-2.4%,,
20 to 24 years,Central Kootenay,Men+,-2.0%,,
25 to 29 years,Central Kootenay,Men+,-2.3%,,
30 to 34 years,Central Kootenay,Men+,-2.8%,,
35 to 39 years,Central Kootenay,Men+,-3.1%,,
40 to 44 years,Central Kootenay,Men+,-3.1%,,
45 to 49 years,Central Kootenay,Men+,-3.1%,,
50 to 54 years,Central Kootenay,Men+,-3.1%,,
55 to 59 years,Central Kootenay,Men+,-3.6%,,
60 to 64 years,Central Kootenay,Men+,-4.2%,,
65 to 69 years,Central Kootenay,Men+,-4.5%,,
70 to 74 years,Central Kootenay,Men+,-3.8%,,
75 to 79 years,Central Kootenay,Men+,-2.3%,,
80 to 84 years,Central Kootenay,Men+,-1.3%,,
85 to 89 years,Central Kootenay,Men+,-0.8%,,
90 to 94 years,Central Kootenay,Men+,-0.3%,,
95 to 99 years,Central Kootenay,Men+,-0.1%,,
100 years and over,Central Kootenay,Men+,0.0%,,
0 to 4 years,Central Kootenay A,Men+,-0.9%,,
5 to 9 years,Central Kootenay A,Men+,-1.8%,,
10 to 14 years,Central Kootenay A,Men+,-1.6%,,
15 to 19 years,Central Kootenay A,Men+,-1.6%,,
20 to 24 years,Central Kootenay A,Men+,-1.3%,,
25 to 29 years,Central Kootenay A,Men+,-0.9%,,
30 to 34 years,Central Kootenay A,Men+,-2.2%,,
35 to 39 years,Central Kootenay A,Men+,-2.2%,,
40 to 44 years,Central Kootenay A,Men+,-2.2%,,
45 to 49 years,Central Kootenay A,Men+,-3.1%,,
50 to 54 years,Central Kootenay A,Men+,-3.4%,,
55 to 59 years,Central Kootenay A,Men+,-4.3%,,
60 to 64 years,Central Kootenay A,Men+,-6.5%,,
65 to 69 years,Central Kootenay A,Men+,-7.2%,,
70 to 74 years,Central Kootenay A,Men+,-6.7%,,
75 to 79 years,Central Kootenay A,Men+,-3.6%,,
80 to 84 years,Central Kootenay A,Men+,-1.1%,,
85 to 89 years,Central Kootenay A,Men+,-0.7%,,
90 to 94 years,Central Kootenay A,Men+,-0.4%,,
95 to 99 years,Central Kootenay A,Men+,0.0%,,
100 years and over,Central Kootenay A,Men+,0.0%,,
0 to 4 years,Central Kootenay B,Men+,-2.3%,,
5 to 9 years,Central Kootenay B,Men+,-2.4%,,
10 to 14 years,Central Kootenay B,Men+,-3.0%,,
15 to 19 years,Central Kootenay B,Men+,-3.1%,,
20 to 24 years,Central Kootenay B,Men+,-2.2%,,
25 to 29 years,Central Kootenay B,Men+,-1.8%,,
30 to 34 years,Central Kootenay B,Men+,-2.1%,,
35 to 39 years,Central Kootenay B,Men+,-2.6%,,
40 to 44 years,Central Kootenay B,Men+,-2.3%,,
45 to 49 years,Central Kootenay B,Men+,-2.2%,,
50 to 54 years,Central Kootenay B,Men+,-2.4%,,
55 to 59 years,Central Kootenay B,Men+,-4.0%,,
60 to 64 years,Central Kootenay B,Men+,-4.9%,,
65 to 69 years,Central Kootenay B,Men+,-4.8%,,
70 to 74 years,Central Kootenay B,Men+,-4.8%,,
75 to 79 years,Central Kootenay B,Men+,-2.6%,,
80 to 84 years,Central Kootenay B,Men+,-1.5%,,
85 to 89 years,Central Kootenay B,Men+,-0.7%,,
90 to 94 years,Central Kootenay B,Men+,-0.3%,,
95 to 99 years,Central Kootenay B,Men+,-0.1%,,
100 years and over,Central Kootenay B,Men+,0.0%,,
0 to 4 years,Central Kootenay C,Men+,-1.4%,,
5 to 9 years,Central Kootenay C,Men+,-3.0%,,
10 to 14 years,Central Kootenay C,Men+,-2.4%,,
15 to 19 years,Central Kootenay C,Men+,-2.0%,,
20 to 24 years,Central Kootenay C,Men+,-1.4%,,
25 to 29 years,Central Kootenay C,Men+,-0.7%,,
30 to 34 years,Central Kootenay C,Men+,-2.0%,,
35 to 39 years,Central Kootenay C,Men+,-3.0%,,
40 to 44 years,Central Kootenay C,Men+,-2.4%,,
45 to 49 years,Central Kootenay C,Men+,-2.7%,,
50 to 54 years,Central Kootenay C,Men+,-3.4%,,
55 to 59 years,Central Kootenay C,Men+,-4.1%,,
60 to 64 years,Central Kootenay C,Men+,-5.1%,,
65 to 69 years,Central Kootenay C,Men+,-6.1%,,
70 to 74 years,Central Kootenay C,Men+,-6.1%,,
75 to 79 years,Central Kootenay C,Men+,-3.4%,,
80 to 84 years,Central Kootenay C,Men+,-1.4%,,
85 to 89 years,Central Kootenay C,Men+,-1.0%,,
90 to 94 years,Central Kootenay C,Men+,-0.3%,,
95 to 99 years,Central Kootenay C,Men+,0.0%,,
100 years and over,Central Kootenay C,Men+,0.0%,,
0 to 4 years,Central Kootenay D,Men+,-1.7%,,
5 to 9 years,Central Kootenay D,Men+,-1.4%,,
10 to 14 years,Central Kootenay D,Men+,-2.1%,,
15 to 19 years,Central Kootenay D,Men+,-2.1%,,
20 to 24 years,Central Kootenay D,Men+,-1.4%,,
25 to 29 years,Central Kootenay D,Men+,-1.7%,,
30 to 34 years,Central Kootenay D,Men+,-2.1%,,
35 to 39 years,Central Kootenay D,Men+,-2.7%,,
40 to 44 years,Central Kootenay D,Men+,-2.7%,,
45 to 49 years,Central Kootenay D,Men+,-2.7%,,
50 to 54 years,Central Kootenay D,Men+,-3.8%,,
55 to 59 years,Central Kootenay D,Men+,-5.1%,,
60 to 64 years,Central Kootenay D,Men+,-5.5%,,
65 to 69 years,Central Kootenay D,Men+,-6.2%,,
70 to 74 years,Central Kootenay D,Men+,-5.8%,,
75 to 79 years,Central Kootenay D,Men+,-2.7%,,
80 to 84 years,Central Kootenay D,Men+,-1.7%,,
85 to 89 years,Central Kootenay D,Men+,-0.7%,,
90 to 94 years,Central Kootenay D,Men+,0.0%,,
95 to 99 years,Central Kootenay D,Men+,0.0%,,
100 years and over,Central Kootenay D,Men+,0.0%,,
0 to 4 years,Central Kootenay E,Men+,-2.0%,,
5 to 9 years,Central Kootenay E,Men+,-2.0%,,
10 to 14 years,Central Kootenay E,Men+,-2.8%,,
15 to 19 years,Central Kootenay E,Men+,-2.4%,,
20 to 24 years,Central Kootenay E,Men+,-1.7%,,
25 to 29 years,Central Kootenay E,Men+,-2.0%,,
30 to 34 years,Central Kootenay E,Men+,-2.6%,,
35 to 39 years,Central Kootenay E,Men+,-2.9%,,
40 to 44 years,Central Kootenay E,Men+,-3.2%,,
45 to 49 years,Central Kootenay E,Men+,-3.5%,,
50 to 54 years,Central Kootenay E,Men+,-3.6%,,
55 to 59 years,Central Kootenay E,Men+,-3.8%,,
60 to 64 years,Central Kootenay E,Men+,-4.9%,,
65 to 69 years,Central Kootenay E,Men+,-5.4%,,
70 to 74 years,Central Kootenay E,Men+,-4.2%,,
75 to 79 years,Central Kootenay E,Men+,-2.8%,,
80 to 84 years,Central Kootenay E,Men+,-1.2%,,
85 to 89 years,Central Kootenay E,Men+,-0.8%,,
90 to 94 years,Central Kootenay E,Men+,-0.3%,,
95 to 99 years,Central Kootenay E,Men+,0.0%,,
100 years and over,Central Kootenay E,Men+,0.0%,,
0 to 4 years,Central Kootenay F,Men+,-1.9%,,
5 to 9 years,Central Kootenay F,Men+,-2.7%,,
10 to 14 years,Central Kootenay F,Men+,-3.2%,,
15 to 19 years,Central Kootenay F,Men+,-2.6%,,
20 to 24 years,Central Kootenay F,Men+,-1.6%,,
25 to 29 years,Central Kootenay F,Men+,-1.8%,,
30 to 34 years,Central Kootenay F,Men+,-2.3%,,
35 to 39 years,Central Kootenay F,Men+,-3.4%,,
40 to 44 years,Central Kootenay F,Men+,-4.0%,,
45 to 49 years,Central Kootenay F,Men+,-4.0%,,
50 to 54 years,Central Kootenay F,Men+,-3.4%,,
55 to 59 years,Central Kootenay F,Men+,-3.4%,,
60 to 64 years,Central Kootenay F,Men+,-4.0%,,
65 to 69 years,Central Kootenay F,Men+,-4.7%,,
70 to 74 years,Central Kootenay F,Men+,-3.9%,,
75 to 79 years,Central Kootenay F,Men+,-1.7%,,
80 to 84 years,Central Kootenay F,Men+,-0.7%,,
85 to 89 years,Central Kootenay F,Men+,-0.5%,,
90 to 94 years,Central Kootenay F,Men+,0.0%,,
95 to 99 years,Central Kootenay F,Men+,0.0%,,
100 years and over,Central Kootenay F,Men+,0.0%,,
0 to 4 years,Central Kootenay G,Men+,-2.1%,,
5 to 9 years,Central Kootenay G,Men+,-1.5%,,
10 to 14 years,Central Kootenay G,Men+,-3.0%,,
15 to 19 years,Central Kootenay G,Men+,-3.0%,,
20 to 24 years,Central Kootenay G,Men+,-0.9%,,
25 to 29 years,Central Kootenay G,Men+,-2.1%,,
30 to 34 years,Central Kootenay G,Men+,-2.7%,,
35 to 39 years,Central Kootenay G,Men+,-4.0%,,
40 to 44 years,Central Kootenay G,Men+,-4.0%,,
45 to 49 years,Central Kootenay G,Men+,-4.0%,,
50 to 54 years,Central Kootenay G,Men+,-4.6%,,
55 to 59 years,Central Kootenay G,Men+,-4.9%,,
60 to 64 years,Central Kootenay G,Men+,-4.6%,,
65 to 69 years,Central Kootenay G,Men+,-4.6%,,
70 to 74 years,Central Kootenay G,Men+,-3.0%,,
75 to 79 years,Central Kootenay G,Men+,-1.2%,,
80 to 84 years,Central Kootenay G,Men+,-0.9%,,
85 to 89 years,Central Kootenay G,Men+,-0.3%,,
90 to 94 years,Central Kootenay G,Men+,0.0%,,
95 to 99 years,Central Kootenay G,Men+,0.0%,,
100 years and over,Central Kootenay G,Men+,0.0%,,
0 to 4 years,Central Kootenay H,Men+,-2.2%,,
5 to 9 years,Central Kootenay H,Men+,-3.1%,,
10 to 14 years,Central Kootenay H,Men+,-3.2%,,
15 to 19 years,Central Kootenay H,Men+,-2.5%,,
20 to 24 years,Central Kootenay H,Men+,-1.7%,,
25 to 29 years,Central Kootenay H,Men+,-1.9%,,
30 to 34 years,Central Kootenay H,Men+,-2.7%,,
35 to 39 years,Central Kootenay H,Men+,-3.5%,,
40 to 44 years,Central Kootenay H,Men+,-4.2%,,
45 to 49 years,Central Kootenay H,Men+,-4.5%,,
50 to 54 years,Central Kootenay H,Men+,-3.7%,,
55 to 59 years,Central Kootenay H,Men+,-4.0%,,
60 to 64 years,Central Kootenay H,Men+,-4.3%,,
65 to 69 years,Central Kootenay H,Men+,-4.5%,,
70 to 74 years,Central Kootenay H,Men+,-3.7%,,
75 to 79 years,Central Kootenay H,Men+,-2.3%,,
80 to 84 years,Central Kootenay H,Men+,-1.0%,,
85 to 89 years,Central Kootenay H,Men+,-0.4%,,
90 to 94 years,Central Kootenay H,Men+,-0.1%,,
95 to 99 years,Central Kootenay H,Men+,-0.1%,,
100 years and over,Central Kootenay H,Men+,0.0%,,
0 to 4 years,Central Kootenay I,Men+,-1.7%,,
5 to 9 years,Central Kootenay I,Men+,-2.5%,,
10 to 14 years,Central Kootenay I,Men+,-2.5%,,
15 to 19 years,Central Kootenay I,Men+,-2.5%,,
20 to 24 years,Central Kootenay I,Men+,-2.1%,,
25 to 29 years,Central Kootenay I,Men+,-2.5%,,
30 to 34 years,Central Kootenay I,Men+,-3.3%,,
35 to 39 years,Central Kootenay I,Men+,-2.9%,,
40 to 44 years,Central Kootenay I,Men+,-4.0%,,
45 to 49 years,Central Kootenay I,Men+,-3.5%,,
50 to 54 years,Central Kootenay I,Men+,-3.5%,,
55 to 59 years,Central Kootenay I,Men+,-5.0%,,
60 to 64 years,Central Kootenay I,Men+,-4.4%,,
65 to 69 years,Central Kootenay I,Men+,-3.8%,,
70 to 74 years,Central Kootenay I,Men+,-3.1%,,
75 to 79 years,Central Kootenay I,Men+,-2.5%,,
80 to 84 years,Central Kootenay I,Men+,-1.2%,,
85 to 89 years,Central Kootenay I,Men+,-0.4%,,
90 to 94 years,Central Kootenay I,Men+,-0.2%,,
95 to 99 years,Central Kootenay I,Men+,0.0%,,
100 years and over,Central Kootenay I,Men+,0.0%,,
0 to 4 years,Central Kootenay J,Men+,-2.1%,,
5 to 9 years,Central Kootenay J,Men+,-3.3%,,
10 to 14 years,Central Kootenay J,Men+,-2.7%,,
15 to 19 years,Central Kootenay J,Men+,-2.7%,,
20 to 24 years,Central Kootenay J,Men+,-2.7%,,
25 to 29 years,Central Kootenay J,Men+,-2.8%,,
30 to 34 years,Central Kootenay J,Men+,-2.7%,,
35 to 39 years,Central Kootenay J,Men+,-3.0%,,
40 to 44 years,Central Kootenay J,Men+,-3.1%,,
45 to 49 years,Central Kootenay J,Men+,-3.1%,,
50 to 54 years,Central Kootenay J,Men+,-3.5%,,
55 to 59 years,Central Kootenay J,Men+,-4.5%,,
60 to 64 years,Central Kootenay J,Men+,-4.8%,,
65 to 69 years,Central Kootenay J,Men+,-4.2%,,
70 to 74 years,Central Kootenay J,Men+,-3.1%,,
75 to 79 years,Central Kootenay J,Men+,-1.7%,,
80 to 84 years,Central Kootenay J,Men+,-1.0%,,
85 to 89 years,Central Kootenay J,Men+,-0.4%,,
90 to 94 years,Central Kootenay J,Men+,-0.1%,,
95 to 99 years,Central Kootenay J,Men+,0.0%,,
100 years and over,Central Kootenay J,Men+,0.0%,,
0 to 4 years,Central Kootenay K,Men+,-1.1%,,
5 to 9 years,Central Kootenay K,Men+,-1.7%,,
10 to 14 years,Central Kootenay K,Men+,-2.0%,,
15 to 19 years,Central Kootenay K,Men+,-1.7%,,
20 to 24 years,Central Kootenay K,Men+,-1.1%,,
25 to 29 years,Central Kootenay K,Men+,-1.1%,,
30 to 34 years,Central Kootenay K,Men+,-2.0%,,
35 to 39 years,Central Kootenay K,Men+,-2.8%,,
40 to 44 years,Central Kootenay K,Men+,-2.0%,,
45 to 49 years,Central Kootenay K,Men+,-2.5%,,
50 to 54 years,Central Kootenay K,Men+,-2.2%,,
55 to 59 years,Central Kootenay K,Men+,-5.1%,,
60 to 64 years,Central Kootenay K,Men+,-5.6%,,
65 to 69 years,Central Kootenay K,Men+,-7.9%,,
70 to 74 years,Central Kootenay K,Men+,-6.2%,,
75 to 79 years,Central Kootenay K,Men+,-3.4%,,
80 to 84 years,Central Kootenay K,Men+,-1.4%,,
85 to 89 years,Central Kootenay K,Men+,-0.6%,,
90 to 94 years,Central Kootenay K,Men+,0.0%,,
95 to 99 years,Central Kootenay K,Men+,0.0%,,
100 years and over,Central Kootenay K,Men+,0.0%,,
0 to 4 years,Columbia-Shuswap,Men+,-2.1%,,
5 to 9 years,Columbia-Shuswap,Men+,-2.5%,,
10 to 14 years,Columbia-Shuswap,Men+,-2.6%,,
15 to 19 years,Columbia-Shuswap,Men+,-2.2%,,
20 to 24 years,Columbia-Shuswap,Men+,-1.9%,,
25 to 29 years,Columbia-Shuswap,Men+,-2.6%,,
30 to 34 years,Columbia-Shuswap,Men+,-3.0%,,
35 to 39 years,Columbia-Shuswap,Men+,-3.1%,,
40 to 44 years,Columbia-Shuswap,Men+,-3.0%,,
45 to 49 years,Columbia-Shuswap,Men+,-2.7%,,
50 to 54 years,Columbia-Shuswap,Men+,-2.8%,,
55 to 59 years,Columbia-Shuswap,Men+,-3.7%,,
60 to 64 years,Columbia-Shuswap,Men+,-4.6%,,
65 to 69 years,Columbia-Shuswap,Men+,-4.4%,,
70 to 74 years,Columbia-Shuswap,Men+,-3.7%,,
75 to 79 years,Columbia-Shuswap,Men+,-2.4%,,
80 to 84 years,Columbia-Shuswap,Men+,-1.5%,,
85 to 89 years,Columbia-Shuswap,Men+,-0.8%,,
90 to 94 years,Columbia-Shuswap,Men+,-0.3%,,
95 to 99 years,Columbia-Shuswap,Men+,0.0%,,
100 years and over,Columbia-Shuswap,Men+,0.0%,,
0 to 4 years,Columbia-Shuswap A,Men+,-2.1%,,
5 to 9 years,Columbia-Shuswap A,Men+,-2.1%,,
10 to 14 years,Columbia-Shuswap A,Men+,-2.6%,,
15 to 19 years,Columbia-Shuswap A,Men+,-1.5%,,
20 to 24 years,Columbia-Shuswap A,Men+,-1.7%,,
25 to 29 years,Columbia-Shuswap A,Men+,-3.5%,,
30 to 34 years,Columbia-Shuswap A,Men+,-3.2%,,
35 to 39 years,Columbia-Shuswap A,Men+,-4.2%,,
40 to 44 years,Columbia-Shuswap A,Men+,-5.1%,,
45 to 49 years,Columbia-Shuswap A,Men+,-3.5%,,
50 to 54 years,Columbia-Shuswap A,Men+,-3.2%,,
55 to 59 years,Columbia-Shuswap A,Men+,-4.2%,,
60 to 64 years,Columbia-Shuswap A,Men+,-5.3%,,
65 to 69 years,Columbia-Shuswap A,Men+,-4.1%,,
70 to 74 years,Columbia-Shuswap A,Men+,-3.5%,,
75 to 79 years,Columbia-Shuswap A,Men+,-1.8%,,
80 to 84 years,Columbia-Shuswap A,Men+,-1.2%,,
85 to 89 years,Columbia-Shuswap A,Men+,-0.3%,,
90 to 94 years,Columbia-Shuswap A,Men+,-0.2%,,
95 to 99 years,Columbia-Shuswap A,Men+,0.0%,,
100 years and over,Columbia-Shuswap A,Men+,0.0%,,
0 to 4 years,Columbia-Shuswap B,Men+,-1.5%,,
5 to 9 years,Columbia-Shuswap B,Men+,-1.5%,,
10 to 14 years,Columbia-Shuswap B,Men+,-2.3%,,
15 to 19 years,Columbia-Shuswap B,Men+,-2.3%,,
20 to 24 years,Columbia-Shuswap B,Men+,-0.8%,,
25 to 29 years,Columbia-Shuswap B,Men+,-4.5%,,
30 to 34 years,Columbia-Shuswap B,Men+,-3.8%,,
35 to 39 years,Columbia-Shuswap B,Men+,-3.0%,,
40 to 44 years,Columbia-Shuswap B,Men+,-3.8%,,
45 to 49 years,Columbia-Shuswap B,Men+,-3.0%,,
50 to 54 years,Columbia-Shuswap B,Men+,-3.0%,,
55 to 59 years,Columbia-Shuswap B,Men+,-4.5%,,
60 to 64 years,Columbia-Shuswap B,Men+,-6.8%,,
65 to 69 years,Columbia-Shuswap B,Men+,-7.6%,,
70 to 74 years,Columbia-Shuswap B,Men+,-3.0%,,
75 to 79 years,Columbia-Shuswap B,Men+,-2.3%,,
80 to 84 years,Columbia-Shuswap B,Men+,-0.8%,,
85 to 89 years,Columbia-Shuswap B,Men+,-0.8%,,
90 to 94 years,Columbia-Shuswap B,Men+,0.0%,,
95 to 99 years,Columbia-Shuswap B,Men+,0.0%,,
100 years and over,Columbia-Shuswap B,Men+,0.0%,,
0 to 4 years,Cranbrook,Men+,-2.2%,,
5 to 9 years,Cranbrook,Men+,-2.5%,,
10 to 14 years,Cranbrook,Men+,-2.8%,,
15 to 19 years,Cranbrook,Men+,-2.6%,,
20 to 24 years,Cranbrook,Men+,-3.0%,,
25 to 29 years,Cranbrook,Men+,-3.2%,,
30 to 34 years,Cranbrook,Men+,-3.2%,,
35 to 39 years,Cranbrook,Men+,-3.1%,,
40 to 44 years,Cranbrook,Men+,-2.9%,,
45 to 49 years,Cranbrook,Men+,-2.7%,,
50 to 54 years,Cranbrook,Men+,-2.9%,,
55 to 59 years,Cranbrook,Men+,-3.5%,,
60 to 64 years,Cranbrook,Men+,-3.5%,,
65 to 69 years,Cranbrook,Men+,-3.3%,,
70 to 74 years,Cranbrook,Men+,-2.8%,,
75 to 79 years,Cranbrook,Men+,-2.1%,,
80 to 84 years,Cranbrook,Men+,-1.4%,,
85 to 89 years,Cranbrook,Men+,-0.7%,,
90 to 94 years,Cranbrook,Men+,-0.4%,,
95 to 99 years,Cranbrook,Men+,-0.1%,,
100 years and over,Cranbrook,Men+,0.0%,,
0 to 4 years,Creston,Men+,-1.5%,,
5 to 9 years,Creston,Men+,-1.8%,,
10 to 14 years,Creston,Men+,-2.3%,,
15 to 19 years,Creston,Men+,-1.9%,,
20 to 24 years,Creston,Men+,-2.1%,,
25 to 29 years,Creston,Men+,-2.0%,,
30 to 34 years,Creston,Men+,-2.1%,,
35 to 39 years,Creston,Men+,-2.0%,,
40 to 44 years,Creston,Men+,-2.5%,,
45 to 49 years,Creston,Men+,-1.8%,,
50 to 54 years,Creston,Men+,-2.5%,,
55 to 59 years,Creston,Men+,-2.9%,,
60 to 64 years,Creston,Men+,-3.8%,,
65 to 69 years,Creston,Men+,-4.6%,,
70 to 74 years,Creston,Men+,-4.5%,,
75 to 79 years,Creston,Men+,-3.0%,,
80 to 84 years,Creston,Men+,-2.8%,,
85 to 89 years,Creston,Men+,-1.8%,,
90 to 94 years,Creston,Men+,-0.7%,,
95 to 99 years,Creston,Men+,-0.1%,,
100 years and over,Creston,Men+,0.0%,,
0 to 4 years,East Kootenay,Men+,-2.3%,,
5 to 9 years,East Kootenay,Men+,-2.8%,,
10 to 14 years,East Kootenay,Men+,-3.0%,,
15 to 19 years,East Kootenay,Men+,-2.5%,,
20 to 24 years,East Kootenay,Men+,-2.4%,,
25 to 29 years,East Kootenay,Men+,-2.7%,,
30 to 34 years,East Kootenay,Men+,-3.2%,,
35 to 39 years,East Kootenay,Men+,-3.5%,,
40 to 44 years,East Kootenay,Men+,-3.2%,,
45 to 49 years,East Kootenay,Men+,-3.0%,,
50 to 54 years,East Kootenay,Men+,-3.0%,,
55 to 59 years,East Kootenay,Men+,-3.6%,,
60 to 64 years,East Kootenay,Men+,-4.0%,,
65 to 69 years,East Kootenay,Men+,-3.8%,,
70 to 74 years,East Kootenay,Men+,-3.1%,,
75 to 79 years,East Kootenay,Men+,-1.9%,,
80 to 84 years,East Kootenay,Men+,-1.2%,,
85 to 89 years,East Kootenay,Men+,-0.6%,,
90 to 94 years,East Kootenay,Men+,-0.2%,,
95 to 99 years,East Kootenay,Men+,-0.1%,,
100 years and over,East Kootenay,Men+,0.0%,,
0 to 4 years,East Kootenay A,Men+,-3.2%,,
5 to 9 years,East Kootenay A,Men+,-2.9%,,
10 to 14 years,East Kootenay A,Men+,-3.2%,,
15 to 19 years,East Kootenay A,Men+,-2.4%,,
20 to 24 years,East Kootenay A,Men+,-2.1%,,
25 to 29 years,East Kootenay A,Men+,-2.7%,,
30 to 34 years,East Kootenay A,Men+,-4.3%,,
35 to 39 years,East Kootenay A,Men+,-4.0%,,
40 to 44 years,East Kootenay A,Men+,-3.7%,,
45 to 49 years,East Kootenay A,Men+,-3.2%,,
50 to 54 years,East Kootenay A,Men+,-2.9%,,
55 to 59 years,East Kootenay A,Men+,-3.5%,,
60 to 64 years,East Kootenay A,Men+,-5.1%,,
65 to 69 years,East Kootenay A,Men+,-4.3%,,
70 to 74 years,East Kootenay A,Men+,-2.9%,,
75 to 79 years,East Kootenay A,Men+,-1.9%,,
80 to 84 years,East Kootenay A,Men+,-0.8%,,
85 to 89 years,East Kootenay A,Men+,-0.3%,,
90 to 94 years,East Kootenay A,Men+,0.0%,,
95 to 99 years,East Kootenay A,Men+,0.0%,,
100 years and over,East Kootenay A,Men+,0.0%,,
0 to 4 years,East Kootenay B,Men+,-1.8%,,
5 to 9 years,East Kootenay B,Men+,-2.5%,,
10 to 14 years,East Kootenay B,Men+,-2.3%,,
15 to 19 years,East Kootenay B,Men+,-3.5%,,
20 to 24 years,East Kootenay B,Men+,-2.0%,,
25 to 29 years,East Kootenay B,Men+,-2.5%,,
30 to 34 years,East Kootenay B,Men+,-3.0%,,
35 to 39 years,East Kootenay B,Men+,-2.8%,,
40 to 44 years,East Kootenay B,Men+,-2.5%,,
45 to 49 years,East Kootenay B,Men+,-3.0%,,
50 to 54 years,East Kootenay B,Men+,-3.8%,,
55 to 59 years,East Kootenay B,Men+,-3.8%,,
60 to 64 years,East Kootenay B,Men+,-5.5%,,
65 to 69 years,East Kootenay B,Men+,-5.0%,,
70 to 74 years,East Kootenay B,Men+,-4.5%,,
75 to 79 years,East Kootenay B,Men+,-2.0%,,
80 to 84 years,East Kootenay B,Men+,-1.8%,,
85 to 89 years,East Kootenay B,Men+,-0.5%,,
90 to 94 years,East Kootenay B,Men+,-0.3%,,
95 to 99 years,East Kootenay B,Men+,0.0%,,
100 years and over,East Kootenay B,Men+,0.0%,,
0 to 4 years,East Kootenay C,Men+,-2.0%,,
5 to 9 years,East Kootenay C,Men+,-2.7%,,
10 to 14 years,East Kootenay C,Men+,-3.0%,,
15 to 19 years,East Kootenay C,Men+,-2.8%,,
20 to 24 years,East Kootenay C,Men+,-2.4%,,
25 to 29 years,East Kootenay C,Men+,-2.0%,,
30 to 34 years,East Kootenay C,Men+,-2.4%,,
35 to 39 years,East Kootenay C,Men+,-2.8%,,
40 to 44 years,East Kootenay C,Men+,-2.8%,,
45 to 49 years,East Kootenay C,Men+,-3.0%,,
